FID,Date,Latitude,Longitude,Oceans,Regions,SubRegions,Microplastics Measurement (density),Unit,Density Class Range,Concentration Class,Sampling Method,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,x,y
19,05/12/1992,15.08,-63.07,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7020920.2842999995,1698421.581100002
20,05/12/1992,14.23,-62.67,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6976392.488,1600617.1314000003
21,05/12/1992,13.65,-62.47,Atlantic Ocean,Caribbean Sea, ,0.008640,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6954128.5899,1534092.2622000016
22,09/12/1992,12.73,-61.70,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6868412.581899999,1428902.0598000027
23,10/12/1992,12.20,-62.40,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6946336.225499999,1368478.1898000017
24,11/12/1992,11.50,-63.38,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7055429.326499999,1288857.1805000007
25,11/12/1992,10.88,-63.73,Atlantic Ocean,Caribbean Sea, ,0.008640,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7094391.1483,1218501.198400002
26,12/12/1992,11.28,-63.53,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7072127.2501,1263874.8660000004
27,13/12/1992,10.85,-64.43,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7172314.7918,1215100.6556000002
28,13/12/1992,10.55,-64.68,Atlantic Ocean,Caribbean Sea, ,0.006480,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7200144.6645,1181113.831700001
