FID,Date,Latitude,Longitude,Oceans,Regions,SubRegions,Microplastics Measurement (density),Unit,Density Class Range,Concentration Class,Sampling Method,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,x,y
1373,15/12/1997,11.23,-64.97,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7232427.3168,1258199.748800002
1374,15/12/1997,10.80,-65.25,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7263596.7743,1209433.8421999998
1375,23/12/1997,17.60,-73.93,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8229849.954299999,1990781.8913000003
1376,24/12/1997,18.43,-74.55,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8298868.0386,2087941.2272000015
1377,24/12/1997,18.98,-74.23,Atlantic Ocean,Caribbean Sea, ,0.012960,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8263245.8016,2152581.3806000017
1378,25/12/1997,19.37,-74.52,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8295528.4539,2198546.2261000015
1379,26/12/1997,19.88,-76.45,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8510375.0711,2258820.6848000027
1380,27/12/1997,19.53,-77.45,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8621694.5619,2217435.3056000024
1381,27/12/1997,19.40,-78.57,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8746372.3916,2202086.5111000016
1382,28/12/1997,19.58,-79.08,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8803145.331899999,2223341.9733000025
1423,25/02/1998,19.23,-74.53,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-8296641.648799999,2182033.4926000014
1424,28/02/1998,16.50,-80.97,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9013539.169499999,1862698.872200001
1425,28/02/1998,16.58,-81.07,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9024671.1186,1871988.8398000002
1426,28/02/1998,16.62,-81.17,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9035803.067699999,1876635.270800002
1427,28/02/1998,16.65,-81.27,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9046935.0168,1880120.7294000015
1428,01/03/1998,16.67,-81.35,Atlantic Ocean,Caribbean Sea, ,0.004320,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9055840.576,1882444.6716000028
1429,01/03/1998,16.68,-81.38,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9059180.160799999,1883606.7338000014
1430,01/03/1998,16.68,-81.45,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9066972.5251,1883606.7338000014
1431,01/03/1998,16.68,-81.52,Atlantic Ocean,Caribbean Sea, ,0.004320,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9074764.8895,1883606.7338000014
1432,01/03/1998,16.68,-81.58,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-9081444.058899999,1883606.7338000014
1518,29/11/1989,17.80,-64.32,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7160069.6477999985,2014152.1148000024
1519,29/11/1989,17.80,-64.32,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7160069.6477999985,2014152.1148000024
1520,02/12/1989,17.00,-63.72,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7093277.953299999,1920825.0404000022
1521,02/12/1989,17.00,-63.72,Atlantic Ocean,Caribbean Sea, ,0.005760,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7093277.953299999,1920825.0404000022
1522,02/12/1989,16.47,-63.63,Atlantic Ocean,Caribbean Sea, ,0.004320,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7083259.199199999,1859216.1258000024
1523,02/12/1989,16.47,-63.63,Atlantic Ocean,Caribbean Sea, ,0.006480,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7083259.199199999,1859216.1258000024
1524,03/12/1989,16.63,-63.50,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7068787.6654,1877797.0298000015
1525,03/12/1989,16.63,-63.50,Atlantic Ocean,Caribbean Sea, ,0.004320,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7068787.6654,1877797.0298000015
1526,04/12/1989,16.60,-63.07,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7020920.2842999995,1874311.9343999997
1527,04/12/1989,16.60,-63.07,Atlantic Ocean,Caribbean Sea, ,0.003600,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7020920.2842999995,1874311.9343999997
1528,04/12/1989,16.97,-62.68,Atlantic Ocean,Caribbean Sea, ,0.015120,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6977505.6828999985,1917333.1435000002
1529,04/12/1989,16.97,-62.68,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6977505.6828999985,1917333.1435000002
1530,05/12/1989,16.08,-62.20,Atlantic Ocean,Caribbean Sea, ,0.006480,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6924072.327299999,1813989.0727000013
1531,05/12/1989,16.08,-62.20,Atlantic Ocean,Caribbean Sea, ,0.010800,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6924072.327299999,1813989.0727000013
1532,05/12/1989,15.55,-62.17,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6920732.7425999995,1752668.303600002
1533,05/12/1989,15.55,-62.17,Atlantic Ocean,Caribbean Sea, ,0.008640,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6920732.7425999995,1752668.303600002
1534,06/12/1989,15.10,-61.98,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6899582.0394,1700727.4828000031
1535,06/12/1989,15.10,-61.98,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6899582.0394,1700727.4828000031
1536,06/12/1989,13.98,-61.70,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6868412.581899999,1571922.1003000028
1537,06/12/1989,13.98,-61.70,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6868412.581899999,1571922.1003000028
1538,08/12/1989,12.22,-61.77,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6876204.9463,1370756.1084000021
1539,08/12/1989,12.22,-61.77,Atlantic Ocean,Caribbean Sea, ,0.006480,pieces/m3,0.005-1,Medium : 0.005-1 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6876204.9463,1370756.1084000021
1540,10/12/1989,12.48,-61.47,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6842809.099099999,1400384.832700003
1541,13/12/1989,12.65,-62.57,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6965260.538899999,1419773.515900001
1542,13/12/1989,12.65,-62.57,Atlantic Ocean,Caribbean Sea, ,0.002160,pieces/m3,0.0005-0.005,Low : 0.0005-0.005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-6965260.538899999,1419773.515900001
1543,13/12/1989,13.05,-63.12,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7026486.2589,1465445.2307000011
1544,13/12/1989,13.05,-63.12,Atlantic Ocean,Caribbean Sea, ,0.000000,pieces/m3,0-0.0005,Very Low: Less than 0.0005 pieces/m³,Neuston net,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,-7026486.2589,1465445.2307000011
